Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Architecture,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status
31,chat,Qwen/Qwen2-72B-Instruct,42.91,0.8,0.7,0.38,0.37,0.46,0.54,,bfloat16,72.706B,other,37.55 kg,701,2024-05-28,2024-06-26,1,Qwen/Qwen2-72B,No,Yes,Yes,No,No
32,fine-tuned,abacusai/Dracarys-72B-Instruct,42.71,0.79,0.69,0.36,0.39,0.46,0.55,,bfloat16,72.706B,other,12.38 kg,20,2024-08-14,2024-08-16,0,abacusai/Dracarys-72B-Instruct,Yes,Yes,Yes,No,No
42,chat,meta-llama/Meta-Llama-3.1-70B-Instruct,42.18,0.87,0.69,0.31,0.36,0.46,0.53,,bfloat16,70.554B,llama3.1,26.80 kg,782,2024-07-16,2024-08-15,1,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No
48,chat,allenai/Llama-3.1-Tulu-3-70B,41.45,0.84,0.62,0.38,0.37,0.5,0.47,,float16,70.554B,llama3.1,38.02 kg,51,2024-11-20,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B (Merge),Yes,Yes,Yes,No,No
49,chat,abacusai/Smaug-Qwen2-72B-Instruct,41.43,0.78,0.69,0.37,0.36,0.44,0.52,,bfloat16,72.706B,other,13.26 kg,9,2024-06-26,2024-07-29,0,abacusai/Smaug-Qwen2-72B-Instruct,Yes,Yes,Yes,No,No
55,chat,allenai/Llama-3.1-Tulu-3-70B-DPO,41.2,0.83,0.61,0.39,0.38,0.49,0.46,,bfloat16,70B,llama3.1,36.80 kg,9,2024-11-20,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B-DPO (Merge),Yes,Yes,Yes,No,No
56,chat,allenai/Llama-3.1-Tulu-3-70B,41.2,0.83,0.62,0.38,0.37,0.49,0.46,,bfloat16,70.554B,llama3.1,36.59 kg,51,2024-11-20,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B (Merge),Yes,Yes,Yes,No,No
109,chat,upstage/solar-pro-preview-instruct,39.9,0.84,0.68,0.22,0.37,0.44,0.53,,bfloat16,22.14B,mit,1.74 kg,445,2024-09-09,2024-09-11,0,upstage/solar-pro-preview-instruct,Yes,Yes,Yes,No,No
148,chat,Qwen/Qwen2.5-Coder-32B-Instruct,38.75,0.73,0.66,0.43,0.35,0.44,0.44,,float16,32.764B,apache-2.0,4.69 kg,1562,2024-11-06,2024-12-10,1,Qwen/Qwen2.5-Coder-32B-Instruct (Merge),No,Yes,Yes,No,No
155,chat,allenai/Llama-3.1-Tulu-3-70B-SFT,38.72,0.81,0.6,0.32,0.34,0.5,0.46,,bfloat16,70.554B,llama3.1,27.34 kg,6,2024-11-18,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B-SFT (Merge),Yes,Yes,Yes,No,No
162,chat,mistralai/Mistral-Large-Instruct-2411,38.46,0.84,0.67,0.01,0.44,0.45,0.56,,float16,122.61B,other,26.27 kg,198,2024-11-14,2024-11-19,0,mistralai/Mistral-Large-Instruct-2411,Yes,Yes,Yes,No,No
167,pretrained,Qwen/Qwen2.5-72B,38.37,0.41,0.68,0.39,0.41,0.48,0.6,,bfloat16,72.706B,other,18.09 kg,57,2024-09-15,2024-09-19,0,Qwen/Qwen2.5-72B,No,Yes,Yes,No,No
177,chat,Qwen/Qwen2.5-72B-Instruct,38.21,0.86,0.73,0.01,0.38,0.42,0.56,,bfloat16,72.706B,other,33.01 kg,710,2024-09-16,2024-10-16,1,Qwen/Qwen2.5-72B,Yes,Yes,Yes,No,No
185,pretrained,Qwen/Qwen2.5-32B,37.98,0.41,0.68,0.35,0.41,0.5,0.58,,bfloat16,32.764B,apache-2.0,5.87 kg,91,2024-09-15,2024-09-19,0,Qwen/Qwen2.5-32B,No,Yes,Yes,No,No
190,multimodal,Qwen/Qwen2-VL-72B-Instruct,37.91,0.6,0.69,0.25,0.39,0.45,0.57,,bfloat16,73.406B,other,27.25 kg,273,2024-09-17,2024-10-20,1,Qwen/Qwen2-VL-72B-Instruct (Merge),Yes,Yes,Yes,No,No
204,merge,mlabonne/BigQwen2.5-52B-Instruct,37.56,0.79,0.71,0.19,0.3,0.41,0.55,,bfloat16,52.268B,apache-2.0,27.56 kg,5,2024-09-23,2024-09-25,1,mlabonne/BigQwen2.5-52B-Instruct (Merge),Yes,Yes,Yes,No,No
207,chat,NousResearch/Hermes-3-Llama-3.1-70B,37.48,0.77,0.68,0.15,0.36,0.49,0.47,,bfloat16,70.554B,llama3,11.21 kg,105,2024-07-29,2024-08-28,1,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No
241,chat,meta-llama/Llama-3.3-70B-Instruct,36.83,0.9,0.69,0.0,0.33,0.45,0.53,,bfloat16,70.554B,llama3.3,38.28 kg,1871,2024-11-26,2024-12-03,1,meta-llama/Llama-3.3-70B-Instruct (Merge),Yes,Yes,Yes,No,No
261,chat,meta-llama/Meta-Llama-3-70B-Instruct,36.51,0.81,0.65,0.25,0.29,0.42,0.52,,bfloat16,70.554B,llama3,18.24 kg,1458,2024-04-17,2024-06-12,1,meta-llama/Meta-Llama-3-70B,Yes,Yes,Yes,No,No
