,Model,AILAStatutes,AfriSentiClassification,AlloProfClusteringS2S.v2,AlloprofReranking,AmazonCounterfactualClassification,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,ArguAna,ArmenianParaphrasePC,BUCC.v2,BelebeleRetrieval,BibleNLPBitextMining,BigPatentClustering.v2,BiorxivClusteringP2P.v2,BornholmBitextMining,BrazilianToxicTweetsClassification,BulgarianStoreReviewSentimentClassfication,CEDRClassification,CLSClusteringP2P.v2,CSFDSKMovieReviewSentimentClassification,CTKFactsNLI,CataloniaTweetClassification,Core17InstructionRetrieval,CovidRetrieval,CyrillicTurkicLangClassification,CzechProductReviewSentimentClassification,DBpediaClassification,DalajClassification,DiaBlaBitextMining,EstonianValenceClassification,FaroeseSTS,FilipinoShopeeReviewsClassification,FinParaSTS,FinancialPhrasebankClassification,FloresBitextMining,GermanSTSBenchmark,GreekLegalCodeClassification,GujaratiNewsClassification,HALClusteringS2S.v2,HagridRetrieval,IN22GenBitextMining,IndicCrosslingualSTS,IndicGenBenchFloresBitextMining,IndicLangClassification,IndonesianIdClickbaitClassification,IsiZuluNewsClassification,ItaCaseholdClassification,JSICK,KorHateSpeechMLClassification,KorSarcasmClassification,KurdishSentimentClassification,LEMBPasskeyRetrieval,LegalBenchCorporateLobbying,MIRACLRetrievalHardNegatives,MLQARetrieval,MacedonianTweetSentimentClassification,MalteseNewsClassification,MasakhaNEWSClassification,MasakhaNEWSClusteringS2S,MassiveIntentClassification,MedrxivClusteringP2P.v2,MultiEURLEXMultilabelClassification,MultiHateClassification,NTREXBitextMining,NepaliNewsClassification,News21InstructionRetrieval,NollySentiBitextMining,NordicLangClassification,NorwegianCourtsBitextMining,NusaParagraphEmotionClassification,NusaTranslationBitextMining,NusaX-senti,NusaXBitextMining,OdiaNewsClassification,OpusparcusPC,PAC,PawsXPairClassification,PlscClusteringP2P.v2,PoemSentimentClassification,PolEmo2.0-OUT,PpcPC,PunjabiNewsClassification,RTE3,Robust04InstructionRetrieval,RomaniBibleClustering,RuBQReranking,SCIDOCS,SIB200ClusteringS2S,SICK-R,SNLHierarchicalClusteringP2P,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSB,STSBenchmark,STSES,ScalaClassification,SemRel24STS,SentimentAnalysisHindi,SinhalaNewsClassification,SiswatiNewsClassification,SlovakMovieReviewSentimentClassification,SpartQA,SprintDuplicateQuestions,StackExchangeClustering.v2,StackOverflowQA,StatcanDialogueDatasetRetrieval,SwahiliNewsClassification,SwednClusteringP2P,SwissJudgementClassification,T2Reranking,TERRa,TRECCOVID,Tatoeba,TempReasonL1,ToxicConversationsClassification,TswanaNewsClassification,TweetTopicSingleClassification,TwitterHjerneRetrieval,TwitterURLCorpus,VoyageMMarcoReranking,WebLINXCandidatesReranking,WikiCitiesClustering,WikiClusteringP2P.v2,WikipediaRerankingMultilingual,WikipediaRetrievalMultilingual,WinoGrande,XNLI,indonli
0,gte-Qwen2-7B-instruct,33.765,44.384189781569646,57.506448147453916,81.09504605331439,86.15203983213753,68.1929207141039,64.84694347666395,54.565,92.65075872104956,98.71091057231139,77.5392420212766,13.587231117392603,28.794499218673657,53.24389713638713,50.16380952380952,25.7861328125,72.91208791208791,52.78427205100956,48.41927222751096,37.87109375,87.79832630142748,52.337513081893505,6.7798,81.041,38.4033203125,55.00000000000001,95.4638671875,53.524774774774784,85.14633147722918,42.6161369193154,72.47030523460988,38.61816406250001,25.7195529264813,75.37985865724382,70.39316876155463,84.75471109539576,22.67333984375,87.95902883156297,31.455219894528103,99.045,77.82830353570846,41.814246601955254,90.59109906484707,19.078506147675718,61.1236448842879,26.462765957446805,71.5837104072398,73.20416551353325,8.42906234658812,59.7265625,68.04730749874183,38.5,95.21,51.58155555555557,78.69177551020414,61.8700614574188,35.690030474531994,79.39616789673822,49.90869661817549,70.36816058512527,49.03002986636611,4.686347826086957,72.26,84.02911422398928,96.455078125,4.1129,55.84828382999115,73.22999999999999,93.42105263157895,43.398958400193635,87.27608050534667,69.91041666666665,80.50597402597401,80.23839743091854,95.99717595594743,66.31914277439907,75.23734722353676,73.34101190608784,55.547619047619044,54.49392712550607,94.02375455132707,74.77707006369427,90.78864343023099,3.9255999999999998,42.05841107965322,74.13167186005539,23.48,37.73466578510028,79.15962683643262,62.77618195900638,79.52565322917206,88.96943154592363,83.86537189895273,88.48375378824065,85.87071943485364,69.3392330957762,82.46545065922575,86.81105691398511,78.30337680474653,55.6787109375,62.94644141747185,62.340534060461586,66.8994140625,59.5,82.3876953125,18.777,93.1413954543224,80.26367734971261,84.345,37.8685,63.53027343749999,51.2087241288512,56.59687211360838,67.80494012637375,67.60965595822725,80.374,73.51357497714068,2.177,85.7373046875,33.44969199178645,73.05375073833432,68.635,86.60659275450581,70.06085195437916,12.501342884346275,77.58436521981416,30.77499816043735,87.72810185185185,88.971875,66.808,85.70667251967983,66.83386443102921
1,multilingual-e5-large-instruct,29.659000000000002,45.38743185721044,56.465654820251686,74.67772958086249,68.60635595543067,62.534993503603,61.28405793014598,58.47599999999999,95.95589691755349,98.95291237745646,80.91880585106385,22.02783681310635,43.18759632840442,42.74642223360121,55.41666666666667,19.8193359375,78.62637362637362,50.00531349628054,42.40111865680486,43.02734375,82.62079764718732,51.035,1.8204591164585913,75.798,81.07421875,60.654296875,95.4638671875,50.000000000000014,87.31437587387482,49.095354523227385,80.43799892800864,40.75927734375,25.615327512474305,84.4434628975265,85.96172923065846,85.91879766484158,32.28271484375,87.51896813353565,30.071654993285048,98.678,78.88523646095456,53.68853300825269,91.11262223334276,86.26569794200802,61.32581705544956,37.340425531914896,62.941176470588246,82.55017107192334,10.21109474717722,58.19824218750001,80.87569199798692,37.75,94.25,57.718555555555554,76.16448979591836,66.70763827919227,29.029168480626904,80.54771766190466,59.233227515991594,62.71465216182162,38.09242836891137,5.502608695652175,64.74454545454546,93.67549966537474,96.9873046875,1.503794295109716,80.71080139372823,76.57000000000001,93.49415204678363,44.086054444686475,85.07410091848311,70.975,85.28844036237084,84.53064922708904,95.46305317773708,65.68491167101071,55.6217974509744,72.73714261252685,57.08333333333333,56.963562753036435,93.45047450223521,84.39490445859873,87.91727578123853,-4.522163145770205,40.86754591167735,71.6591133500063,19.238,47.19148058157195,81.73085443529001,64.13302553169207,82.52836101249812,88.05498843767127,84.82883151106293,91.02208309425296,85.96897124958758,68.9504656495458,83.09800997629712,88.39290178655834,77.07534827243025,50.36499023437499,69.17308958236403,59.554303041480324,78.0419921875,47.5,87.5048828125,13.536999999999999,92.1893142357913,59.96877429544219,85.816,33.67,59.11132812499999,47.55962245436645,55.46189493501321,67.12059871450872,63.889249361601905,82.509,83.7297358436565,1.197,66.81640625,46.36550308008214,74.87891317188422,36.855,86.73195968908499,62.48323780301285,8.709846529573541,76.22072269296974,31.450801211002773,91.0291121031746,91.59349999999999,54.272,79.48950175583943,56.17010158935305
2,Linq-Embed-Mistral,39.228,44.99643333333332,56.391400000000004,79.8192,83.00365,63.3776,62.165000000000006,69.649,92.4926,98.9453,70.5742765957447,15.659647101449329,24.8052,45.8864,55.5822,22.3975,80.4396,51.5356004250797,43.3447,45.1416,81.44725,52.713875,4.6739999999999995,74.663,67.4756,63.2471,95.83500000000001,50.720699999999994,86.664,43.8631,80.03620000000001,42.32665,18.9342,86.20139999999999,60.96840934270242,86.1437,18.6084,71.44160000000001,29.022199999999998,98.896,66.1771735177866,22.255258333333337,85.75402155172415,77.151,60.575100000000006,26.9681,71.0407,84.3428,8.9985,59.3604,70.5133,37.75000000000001,95.379,55.33605555555554,70.46224489795917,53.3802,36.9569,76.75476875,51.43464375,65.08960294117648,40.9949,3.9613043478260868,72.72181818181818,78.04424290187882,94.42869999999999,1.7141,45.95847500000001,68.8967,93.71350000000001,43.11441000000001,77.46697272727275,73.47708333333333,78.1589909090909,56.7309,94.938925,67.5094,60.507571428571424,72.79719999999999,55.87955,66.86229999999999,92.6578,54.9045,88.877125,-3.5531,40.6999,76.84186176600346,21.932,38.39898781725887,84.30523596401186,62.07319999999999,78.44413657529002,88.26850223126127,84.49441798385489,90.27866978947013,92.68185242943188,69.71411666666665,83.16335,88.80650007123052,78.561,51.119375,67.40269166666667,63.53060000000001,58.769499999999994,55.50000000000001,87.3193,8.408,96.27527798658713,72.16590000000001,91.709,46.9695,60.8203,47.21005,55.227666666666664,66.8938,60.001168974381315,87.09700000000001,71.32496696428572,4.601999999999999,71.2938,39.2197,72.23859999999999,40.841,87.51158697451964,61.235099999999996,11.280566666666667,89.9577,30.913050000000002,90.13028124999998,90.7656875,52.068999999999996,74.7303642857143,55.3272
3,SFR-Embedding-Mistral,37.467,44.20196666666667,57.8715,79.3174,73.80711249999999,65.5027,62.554500000000004,67.171,92.3813,98.96095,69.59641489361701,16.517113828502417,30.536099999999998,47.1772,50.24380000000001,19.8828,79.2308,51.7428,43.4734,37.041000000000004,80.67225,52.929875,4.5502,73.06700000000001,64.9902,59.1699,91.6357,50.416700000000006,86.1938,39.853300000000004,79.3127,39.50195,19.8898,75.6095,61.738484917414794,86.4393,26.21095,73.3839,30.115599999999997,98.822,66.59641581027675,22.849208333333333,85.7499353448276,74.0193,58.2314,25.4255,71.3122,83.7372,9.9313,57.5684,68.1429,29.750000000000004,94.83200000000001,58.410666666666664,69.3089081632653,52.0193,36.626,77.42108124999999,53.42579375,60.472758823529404,43.1892,4.557043478260869,68.25363636363636,78.76236195198335,95.0293,1.3774,45.940099999999994,68.8,92.9825,40.50217,76.84426363636364,69.21666666666665,78.92074545454547,54.6177,94.96713333333334,62.479,58.89937857142857,73.9569,56.309999999999995,54.85830000000001,92.36229999999999,57.1338,88.2073,-5.4532,40.4758,77.24119999999999,19.908,38.354868527918796,82.92294737327579,64.22919999999999,79.46865215168464,89.15419511870839,84.93199878424691,90.7407512744838,92.01519349090438,68.88672777777779,83.56275,88.99708463265337,76.89540000000001,50.952149999999996,66.90585833333333,57.5925,56.5967,49.0,84.5264,8.807,96.4591954606088,71.90220000000001,92.278,46.63699999999999,59.8877,48.95615,55.02066666666666,66.9732,60.648599999999995,87.599,70.51660267857142,3.592,69.3294,40.718700000000005,77.2593,76.062,87.78613271895861,62.057700000000004,9.377066666666668,90.9769,30.91065,90.17466250000001,90.9736875,45.645,74.64536785714283,56.177299999999995
4,GritLM-7B,41.8,45.07858861214175,56.41182129244591,77.92616035817949,79.29651246204345,59.76004587290107,62.283243447585626,63.171,93.25395448596443,99.01506999178171,71.70350531914893,15.703429559492088,31.01061795309582,41.89593045442553,61.17333333333333,18.84765625,77.58241758241758,50.67481402763019,42.7530529865959,41.3525390625,82.59920995368684,54.38375,6.7048725731991805,73.40100000000001,64.8779296875,62.216796875,92.9296875,50.63063063063063,87.83077193045878,38.679706601467,75.55661848971026,41.71630859375,22.715692027055358,84.35512367491167,61.099302859073234,81.73166793520105,27.3876953125,69.85584218512899,29.760842530198428,98.673,67.03253832518722,27.24561970570905,84.25365760056918,81.57702676047076,60.43900294775631,28.24468085106383,73.52941176470588,85.63182770798646,9.243986254295532,59.7412109375,67.19677906391544,38.25,94.999,51.67933333333333,72.7420204081633,54.47761194029851,30.23944275141489,75.04496865922064,54.2806919405131,63.8057444033619,36.47114245372426,4.86295652173913,73.53727272727272,78.07461712905886,94.365234375,1.2150889430978191,44.40577039191205,69.36333333333333,92.69005847953215,42.93806408090434,78.12577242664366,70.78958333333335,75.4300852346307,56.649064290953774,95.09266363723512,67.05183898059659,57.18643310986854,72.52547747581623,51.632326007326,62.55060728744939,91.8706383851458,60.2547770700637,89.11072722656621,2.4389676564299667,39.553580714309355,75.74687449941541,24.409,36.07251977065838,83.12714130007382,62.261365435926294,77.33852878004329,85.040275646636,82.90819992299015,88.12508895141099,84.38532687280112,69.3829026389133,79.03608450123514,85.64422693135457,79.81620069387338,52.105712890625,65.56195908195134,57.14425391589478,57.998046875,58.875,85.6787109375,9.354999999999999,93.34758693133183,68.13461467763409,93.367,45.75874999999999,63.00781250000001,51.4866057426058,56.39577374702822,65.64118643982063,58.93383738329443,74.313,72.07802431124206,7.164,68.8134765625,40.12320328542095,75.02658003544005,43.266,87.42665970242986,61.837452379452664,10.471032110953798,83.66189968292855,29.879395630695697,91.04981812169311,91.7721875,53.696999999999996,75.04609614716912,55.52071327419831
5,GritLM-8x7B,39.044000000000004,44.20019780912789,59.27976109387059,78.12358280850987,76.50539503502856,59.86256139428866,57.21927960247923,59.538999999999994,93.56474709832032,98.99570655024637,70.57933776595748,13.915500546280574,37.86152284690122,44.6450727199578,49.12761904761904,21.826171875,72.47252747252746,50.781083953241236,42.11841225675311,41.0986328125,82.17309967794337,53.564404728102375,6.1511000000000005,71.435,65.7958984375,59.1650390625,94.6728515625,50.867117117117125,88.152426325704,40.391198044009776,75.17412143009663,41.0986328125,20.079960731368924,81.70494699646645,57.8081629463862,84.5956147247001,28.486328125000004,78.30045523520485,30.87696601982258,98.721,67.47859425081401,27.20565589380371,84.32173212957704,80.92576763758302,60.53829876003729,26.369680851063826,75.1131221719457,81.56952164325557,11.050564555719196,58.7744140625,69.29542023150479,37.75,94.312,48.838888888888896,71.14567346938775,56.224758560140465,33.53069220722682,77.196958263659,53.75969255403582,63.64562002886286,40.2830754049983,4.957304347826088,73.6509090909091,75.79458659735234,96.19140625,0.3758,39.727050633492375,73.19666666666667,93.71345029239765,41.346540136218415,71.04237614808238,66.52708333333332,70.948305748986,58.56284944863729,95.59659475693944,66.6956269910223,58.00220792431645,72.96674316108866,52.05357142857143,48.441295546558706,92.28721630012802,60.828025477707,88.36857125848701,0.7978000000000001,39.20689935898069,74.78543858273224,23.247999999999998,40.4380953631484,80.56596360704134,62.42454440213936,73.69103876926383,85.84537862684346,82.04633406211417,88.81340550511095,85.92753995349881,70.08303783111293,80.82807037325122,87.46088823673782,80.31875222821118,51.41723632812501,66.35383449093747,56.22358006373366,61.79687499999999,57.875,80.7080078125,8.657,91.97328651896981,69.22281339916671,86.211,33.925,63.7109375,40.40531899431452,56.32928757440476,65.31220227771662,58.2072604427126,81.357,75.24183704932332,3.6350000000000002,69.3505859375,39.507186858316224,75.80626107501477,79.321,86.51045713469982,57.2151290908269,10.662562195102824,84.94429480083369,29.48246378693038,89.57123346560844,89.98131249999999,37.968,75.2711712477524,55.10282995247396
6,e5-mistral-7b-instruct,34.535,44.476334504656,57.1119995801465,78.3176643851751,73.55583851060096,65.2837349991313,61.2781226957918,61.653000000000006,92.09217221470108,98.89044218036211,68.28947074468086,15.871068617513199,29.14035497773531,42.43994588820838,57.243333333333325,19.033203125,79.28571428571429,51.94473963868226,43.57979865632357,37.5634765625,83.26076063030767,52.64625000000001,3.7559714980443726,73.111,66.2890625,59.80957031250001,90.859375,50.92342342342342,85.664793530138,42.298288508557455,78.31946771080547,40.537109375,20.57879181482765,79.19169611307422,61.71733102240932,85.66991448217436,22.30224609375,73.08801213960547,29.059912219114242,98.795,66.24329979557673,22.98129705828594,85.70994781850882,74.51147346965612,57.91527819311136,25.026595744680847,67.87330316742081,83.54828172469371,9.077074128620518,57.021484375,69.0689481630599,30.75,94.60300000000001,58.02816666666667,67.06868367346941,53.81913959613696,25.768393556813233,77.20843925808812,54.55790207829308,59.951884047322594,39.04746182823812,5.160695652173912,69.14818181818181,78.82254775515362,94.98046875,0.7424044941545943,46.627467490432835,69.13333333333333,93.12865497076022,39.72819872294247,78.58169271193843,70.89166666666668,78.9577462250668,56.15991706834288,95.32411071027079,62.26469736461049,58.190876891247946,74.56474020582282,59.08516483516484,60.54655870445343,92.8806104123782,55.73248407643312,89.44188789556573,-6.34797925525378,39.301171256563904,76.32050567901123,16.314999999999998,38.743556291910544,82.64168405010996,64.56321178826592,79.65304787099163,88.42693188284633,84.53916226397308,90.42497351106816,85.17116133130891,67.58185609705278,83.28891491867842,88.59956806069064,76.54646568695226,51.070556640625,66.37408186274175,62.13235665105454,56.27929687499999,43.125,85.1416015625,10.035,95.86143310549286,64.32871212725469,91.018,44.826,58.27148437500001,50.55558993934491,55.65359690090874,66.89539154997776,60.81463737650523,87.034,70.08043679895431,3.595,71.748046875,40.595482546201225,76.60366213821618,33.405,87.78798304575807,61.619251838838366,9.50633641428265,89.03355245373612,31.041842947604565,90.25595072751322,90.9265,39.513999999999996,78.69561736986618,57.99422834513732
7,bilingual-embedding-large,25.162000000000003,46.07017500000001,52.845,73.63055206572554,76.5853375,57.353,57.640899999999995,55.888000000000005,96.0543,98.714175,80.55823138297878,18.062437862318863,32.571,39.4234,36.2332,20.7715,70.2747,46.6684,39.644200000000005,37.4512,80.22194999999999,50.215450000000004,0.1298,73.348,75.3418,58.0322,91.53320000000001,49.8649,82.9207,41.955999999999996,79.0172,37.1167,27.5016,82.7694,79.91609412972032,87.3049,38.95265,80.0152,28.089399999999998,98.694,76.34322391304347,45.948283333333336,88.92267413793105,79.74090000000001,58.2447,35.5053,68.41629999999999,83.45949999999999,10.741299999999999,57.143600000000006,78.0272,38.50000000000001,93.074,51.17761111111112,73.96082653061224,61.4838,28.907300000000003,80.56872037914692,55.090949643200084,62.54441274509804,37.0089,4.690869565217391,61.349999999999994,90.3957729645095,95.0244,-0.6267,64.51125,71.7767,93.4211,46.51373,73.65930909090909,69.15,76.9724909090909,81.5851,95.700775,67.47760000000001,58.829892857142866,70.36630000000001,50.0014,38.3198,91.7714,80.828,88.32667500000001,-8.618,41.4633,72.2633,18.829,35.06109644670051,81.0146278511025,59.14319999999999,85.52036823639511,89.36590409791387,91.60879188296313,92.02450415044238,88.70915251373806,71.34637222222221,84.93280000000001,89.28237056532355,80.3175,50.267325,67.57848333333332,59.9602,73.3154,60.875,75.1221,6.0089999999999995,92.61210920251231,57.6207,89.398,33.481,60.083,36.768499999999996,55.0817,66.6306,57.943999999999996,52.92,76.1187991071429,1.111,65.56640625,46.8172,72.0201,73.114,87.19162847931055,59.4133,8.871283333333334,74.6969,28.25854285714286,87.72759999999998,88.673875,37.977,74.97025,54.5103
8,gte-Qwen2-1.5B-instruct,34.886,40.86470833333333,49.709900000000005,73.48697375332002,81.9994375,64.7434,63.217999999999996,69.72,91.5907,98.80222499999999,66.58554521276598,10.921005736714982,43.8761,45.8146,39.7881,21.166999999999998,68.2967,52.98087141339002,45.6336,33.3887,81.3343,50.01910000000001,2.8398,80.794,41.7188,55.1562,94.624,50.2815,85.5479,38.9731,68.4519,35.5713,17.50045,80.6007,51.092610668405136,81.2812,17.8833,76.22149999999999,29.852099999999997,98.694,59.72967391304348,22.661224999999998,77.70211465517238,38.16,60.44540000000001,25.079800000000002,70.0905,75.413,7.8056,56.2549,57.94669999999999,38.25000000000001,94.843,63.227944444444454,72.89005102040817,52.5549,33.7875,85.18957345971565,71.7056263158008,57.69371764705882,43.0505,4.378695652173913,65.72363636363636,67.91727327766165,94.18950000000001,2.9466,36.048175,61.076699999999995,93.8596,42.586420000000004,68.66452727272727,67.42708333333334,68.55387272727273,57.283899999999996,94.56908333333334,69.04141326382856,66.0307857142857,72.4581,57.8544,68.40080971659918,91.47194213011349,65.414,88.998375,-3.5540000000000003,40.704499999999996,73.87568855586618,24.976000000000003,32.69826802030457,80.49030614009419,61.277300000000004,77.25370084896514,87.79454220555091,82.91015471820322,88.45414278092397,90.32542469203855,69.39835555555554,79.39715677296854,86.37572865993327,76.5209,50.367399999999996,61.532025000000004,60.093799999999995,50.33689999999999,52.25,71.22070000000001,18.627,95.3203137438653,69.32549999999999,90.274,33.253,59.9365,48.651250000000005,54.127866666666655,67.43289278789972,60.546979190962006,85.382,53.98598482142856,1.3259999999999998,82.66099999999999,31.971300000000003,76.62729999999999,67.008,87.58146137353202,65.2151,8.159066666666666,81.3248,30.012999999999995,87.31201875000002,87.7718125,65.61099999999999,80.44733928571428,59.519200000000005
9,gte-Qwen1.5-7B-instruct,31.461,43.942975000000004,55.30199999999999,75.5628,79.854725,67.25999999999999,63.9121,62.644999999999996,90.5094,98.975225,59.94616755319145,9.345154227053156,28.2013,55.757,40.6232,21.5088,68.1319,54.77151965993624,46.3449,33.2129,86.1944,52.2397,8.3726,80.87299999999999,62.246100000000006,55.122099999999996,96.0986,50.1239,86.10419999999999,42.6284,67.6476,36.8091,25.3549,77.7871,45.85669072491001,80.9884,10.1904,76.85889999999999,29.9673,98.747,57.59286324110665,23.876891666666666,75.93293275862067,79.6344,60.1414,19.0824,72.3982,70.7808,6.0236,55.7422,62.7378,38.25000000000001,94.513,42.858888888888885,70.11052040816324,53.8191,30.8098,69.86899375,46.592943749999996,56.80241078431373,49.515,4.141826086956522,68.42545454545453,67.0075989039666,92.7734,1.8197,32.197075,72.94,92.3977,35.81891,66.65870000000001,65.06666666666666,60.89824545454546,64.1372,95.19259166666666,66.3771,73.2526857142857,72.294,56.842499999999994,47.0445,92.6785,57.5796,90.852175,5.8827,39.097300000000004,70.28418717346855,27.694000000000003,32.28490812182743,79.14737320486729,64.3929,76.52178073172526,88.62720469210905,83.32346434965837,87.50432670473445,87.78994504115502,68.79782222222222,81.369375466486,87.35031011815016,72.5065,55.5664,55.27935000000001,57.3431,43.222699999999996,42.875,70.1514,16.955000000000002,96.06741547889861,80.5959,91.01700000000001,35.3085,57.2803,48.32445,53.917300000000004,68.109205221286,69.49609366786602,72.72,56.78551071428571,1.8399999999999999,78.75399999999999,27.597500000000004,75.1093,64.255,86.7900899669397,47.4524,11.768416666666665,90.7419,30.009392857142853,88.35913125,85.80393749999999,64.79899999999999,85.3927,63.8804
