,eval_name,Precision,Type,T,Weight type,Architecture,Model,fullname,Model sha,Average ⬆️,Hub License,Hub ❤️,#Params (B),Available on the hub,MoE,Flagged,Chat Template,CO₂ cost (kg),IFEval Raw,IFEval,BBH Raw,BBH,MATH Lvl 5 Raw,MATH Lvl 5,GPQA Raw,GPQA,MUSR Raw,MUSR,MMLU-PRO Raw,MMLU-PRO,Merged,Official Providers,Upload To Hub Date,Submission Date,Generation,Base Model
1,01-ai_Yi-1.5-34B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-34B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-34B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-34B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-34B,4b486f81c935a2dadde84c6baa1e1370d40a098f,25.62131796065766,apache-2.0,47,34.389,True,False,False,False,11.35169893737245,0.2841172533322695,28.411725333226947,0.5976391706360018,42.74936268839652,0.15181268882175228,15.181268882175228,0.36577181208053694,15.436241610738257,0.4236041666666667,11.217187500000003,0.4665890957446808,40.732121749408975,False,True,2024-05-11,2024-06-12,0,01-ai/Yi-1.5-34B
2,01-ai_Yi-1.5-34B-32K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-34B-32K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-34B-32K</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-34B-32K-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-34B-32K,2c03a29761e4174f20347a60fbe229be4383d48b,26.677560441237244,apache-2.0,36,34.389,True,False,False,False,11.577314287549456,0.3118691737922047,31.186917379220468,0.6015685776542417,43.38184666762572,0.15105740181268884,15.105740181268883,0.36325503355704697,15.100671140939594,0.4398229166666667,14.07786458333333,0.4709109042553192,41.21232269503546,False,True,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-34B-32K
3,01-ai_Yi-1.5-34B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-34B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-34B-Chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-34B-Chat-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-34B-Chat,f3128b2d02d82989daae566c0a7eadc621ca3254,32.89223334850039,apache-2.0,266,34.389,True,False,False,True,11.211921933663872,0.6066758423205982,60.66758423205982,0.6083748310271819,44.262825981005655,0.24924471299093656,24.924471299093657,0.3649328859060403,15.324384787472036,0.4281979166666667,13.058072916666665,0.45204454787234044,39.11606087470449,False,True,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-34B-Chat
4,01-ai_Yi-1.5-34B-Chat-16K_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-34B-Chat-16K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-34B-Chat-16K</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-34B-Chat-16K-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-34B-Chat-16K,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,29.239909324079818,apache-2.0,26,34.389,True,False,False,True,3.3870112290744174,0.456449997118756,45.6449997118756,0.6100218256499571,44.53615654671034,0.20392749244712993,20.392749244712995,0.33808724832214765,11.74496644295302,0.43976041666666665,13.736718750000001,0.45445478723404253,39.383865248226954,False,True,2024-05-15,2024-07-15,0,01-ai/Yi-1.5-34B-Chat-16K
5,01-ai_Yi-1.5-6B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-6B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-6B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-6B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-6B,cab51fce425b4c1fb19fccfdd96bd5d0908c1657,16.695345587701233,apache-2.0,30,6.061,True,False,False,False,1.1847571621382451,0.26166017278598563,26.166017278598567,0.44925820198929056,22.027904536694773,0.06344410876132932,6.344410876132931,0.313758389261745,8.501118568232664,0.43740625,13.309114583333335,0.31441156914893614,23.823507683215126,False,True,2024-05-11,2024-08-10,0,01-ai/Yi-1.5-6B
6,01-ai_Yi-1.5-6B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-6B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-6B-Chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-6B-Chat-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-6B-Chat,3f64d3f159c6ad8494227bb77e2a7baef8cd808b,20.983905584895307,apache-2.0,41,6.061,True,False,False,True,0.9688401161038919,0.5145270105542183,51.452701055421834,0.4571311331954389,23.67872313235784,0.054380664652567974,5.438066465256798,0.30201342281879195,6.935123042505594,0.43917708333333333,14.030468750000002,0.3193151595744681,24.368351063829788,False,True,2024-05-11,2024-10-22,0,01-ai/Yi-1.5-6B-Chat
7,01-ai_Yi-1.5-9B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-9B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-9B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-9B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-9B,8cfde9604384c50137bee480b8cef8a08e5ae81d,22.14131339736707,apache-2.0,47,8.829,True,False,False,False,0.7344460160408538,0.29358435617494916,29.358435617494916,0.514294179104191,30.50071699492122,0.11329305135951663,11.329305135951664,0.37919463087248323,17.225950782997764,0.43278124999999995,12.030989583333332,0.3916223404255319,32.402482269503544,False,True,2024-05-11,2024-06-12,0,01-ai/Yi-1.5-9B
8,01-ai_Yi-1.5-9B-32K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-9B-32K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-9B-32K</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-9B-32K-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-9B-32K,116561dfae63af90f9d163b43077629e0e916bb1,19.784610052239916,apache-2.0,18,8.829,True,False,False,False,0.7840367066348469,0.23031113002389217,23.031113002389215,0.496332115988265,28.937011582169664,0.10649546827794563,10.649546827794563,0.35906040268456374,14.541387024608499,0.4186145833333333,10.82682291666667,0.37649601063829785,30.721778959810877,False,True,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-9B-32K
9,01-ai_Yi-1.5-9B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-9B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-9B-Chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-9B-Chat-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-9B-Chat,bc87d8557c98dc1e5fdef6ec23ed31088c4d3f35,27.89441703395684,apache-2.0,139,8.829,True,False,False,True,0.7267717454553025,0.6045525871354672,60.455258713546726,0.555906430281685,36.95293138417893,0.12764350453172205,12.764350453172204,0.3347315436241611,11.297539149888143,0.42590625,12.838281249999996,0.39752327127659576,33.05814125295508,False,True,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-9B-Chat
10,01-ai_Yi-1.5-9B-Chat-16K_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-1.5-9B-Chat-16K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-1.5-9B-Chat-16K</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-1.5-9B-Chat-16K-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-1.5-9B-Chat-16K,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,23.03528157450677,apache-2.0,35,8.829,True,False,False,True,0.7923725067008767,0.4214040966856829,42.14040966856828,0.5153383364651778,31.497608947018318,0.13444108761329307,13.444108761329307,0.3087248322147651,7.829977628635347,0.40990624999999997,10.03828125,0.39935172872340424,33.261303191489354,False,True,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-9B-Chat-16K
