Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status,aart,advbench,anthropic_redteam,bad,bbq,beavertails_bad,cona,confaide,controversial_instructions,cyberattack_assistance,dan_jailbreak,dan_regular,decoding_trust_machine_ethics,decoding_trust_privacy,decoding_trust_stereotype,dialogue_safety,dices350,do_not_answer,do_not_answer_fn,do_not_answer_fp,gandalf_ignore_instructions,hack_4_prompt,harm_bench,harmfulq,hex_phi,hypothesis_stereotypes,latent_jailbreak,librai_adv_deep_inception,librai_adv_do_anything_now,librai_adv_effect_to_cause,librai_adv_few_shots,librai_adv_multilingual,librai_adv_one_sided_statement,librai_adv_persona_modulation,librai_adv_prompt_injection,librai_adv_refusal_suppression,librai_adv_tense_change,malicious_instruct,malicious_instructions,moral_choice,personalinfoleack_few_shot,physical_safety_instructions_safe,physical_safety_instructions_unsafe,prompt_extraction_robustness,prompt_injection,promptinjectionrobustness,red_eval_dangerousqa,red_eval_harmfulqa,safe_text,simple_safety_test,sp_misconceptions,sycophancy_eval_answer,sycophancy_eval_are_you_sure,tdc_red_teaming,toxigen,truthful_qa_mc1,xstest,Unnamed: 81
1182.0,chat,databricks/dbrx-instruct,25.2,0.54,0.54,0.07,0.34,0.43,0.37,bfloat16,131.597B,other,47.96 kg,1110.0,3月26日,6月12日,0.0,databricks/dbrx-instruct,Yes,Yes,Yes,No,No,0.73,0.05,0.5,0.6,0.35,0.5,0.45,0.25,0.1,0.6,0.55,0.45,0.55,0.3,0.7,0.5,0.5,0.7,0.6,0.6,0.95,0.73,0.35,0.75,0.9,0.75,0.85,0.85,0.8,0.85,0.61,,0.75,0.86,0.7,1.0,0.8,0.85,0.95,0.65,0.85,0.9,0.85,0.7,0.85,0.95,1.0,0.95,0.95,1.0,0.95,1.0,1.0,0.95,1.0,1.0,1.0,1.0
1427.0,chat,ibm-granite/granite-3.0-8b-instruct,23.86,0.53,0.52,0.13,0.33,0.39,0.35,bfloat16,8.171B,apache-2.0,1.71 kg,199.0,10月2日,10月20日,1.0,ibm-granite/granite-3.0-8b-instruct (Merge),Yes,Yes,Yes,No,No,0.75,0.2,0.15,,0.15,0.45,0.32,0.55,0.1,0.55,0.6,0.45,0.8,0.45,0.4,0.5,0.8,0.6,0.75,0.9,0.55,,0.55,0.7,1.0,0.85,0.8,0.85,0.75,0.8,0.86,0.9,0.8,0.79,0.95,0.95,0.9,0.9,0.8,0.95,1.0,0.95,0.95,0.9,0.95,0.9,0.9,1.0,1.0,0.95,0.8,1.0,1.0,0.9,1.0,1.0,0.99,1.0
1431.0,chat,mistralai/Mixtral-8x7B-Instruct-v0.1,23.84,0.56,0.5,0.09,0.3,0.42,0.37,bfloat16,46.703B,apache-2.0,13.76 kg,4287.0,12月10日,6月12日,1.0,mistralai/Mixtral-8x7B-v0.1,Yes,Yes,Yes,Yes,No,0.75,0.15,0.1,,0.2,0.65,0.37,0.3,0.1,0.5,0.63,0.5,0.7,0.55,0.85,0.5,0.4,,0.75,0.75,0.95,0.77,0.55,0.65,0.65,0.8,,0.85,0.8,0.75,0.8,0.8,0.9,0.86,0.85,1.0,0.95,1.0,0.85,0.9,0.95,0.95,0.9,0.95,0.9,1.0,1.0,1.0,1.0,1.0,,,0.95,0.85,1.0,1.0,1.0,1.0
1627.0,chat,LLM360/K2-Chat,22.94,0.52,0.54,0.02,0.31,0.46,0.34,bfloat16,65.286B,apache-2.0,17.26 kg,35.0,5月22日,6月12日,0.0,LLM360/K2-Chat,Yes,Yes,Yes,No,No,0.77,0.25,0.05,,,,0.26,0.6,0.1,0.33,,0.37,,0.4,0.55,0.5,0.75,0.95,0.9,0.8,0.65,0.8,0.85,0.95,0.5,1.0,,0.85,0.75,0.8,0.87,1.0,1.0,0.78,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.85,1.0,0.95,0.95,1.0,0.9,0.95,1.0,1.0,1.0,0.95,1.0,0.99,1.0
1362.0,chat,meta-llama/Llama-3.2-3B-Instruct,24.12,0.74,0.46,0.17,0.28,0.35,0.32,bfloat16,3.213B,llama3.2,1.27 kg,958.0,9月18日,9月27日,0.0,meta-llama/Llama-3.2-3B-Instruct,Yes,Yes,Yes,No,No,0.79,0.35,1.0,0.68,1.0,0.35,0.7,0.45,1.0,0.25,0.35,0.53,0.8,0.75,0.45,0.85,0.6,0.8,0.8,0.85,0.8,0.67,0.65,0.95,0.75,0.95,0.35,0.75,0.5,0.75,0.91,0.85,1.0,0.78,0.85,0.95,0.9,0.85,0.9,1.0,0.9,0.85,1.0,1.0,1.0,0.8,0.9,0.78,1.0,0.9,0.95,1.0,0.6,,1.0,0.95,1.0,1.0
805.0,chat,google/gemma-2-9b-it,28.86,0.74,0.6,0,0.36,0.41,0.39,bfloat16,9B,gemma,5.01 kg,645.0,6月24日,7月11日,1.0,google/gemma-2-9b,Yes,Yes,Yes,No,No,0.81,,,,0.25,0.55,0.6,0.8,0.9,,0.53,0.6,0.35,0.7,0.75,1.0,0.7,0.53,0.8,0.9,0.95,0.74,0.6,0.97,0.9,0.6,0.7,0.8,1.0,0.95,0.89,0.85,0.65,0.85,1.0,0.8,1.0,0.95,1.0,1.0,1.0,0.9,1.0,0.95,1.0,0.9,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.95
1414.0,chat,meta-llama/Meta-Llama-3-8B-Instruct,23.91,0.74,0.5,0.09,0.26,0.36,0.37,bfloat16,8.03B,llama3,0.80 kg,3799.0,4月17日,6月12日,0.0,meta-llama/Meta-Llama-3-8B-Instruct,Yes,Yes,Yes,No,No,0.82,0.25,1.0,,1.0,0.4,0.4,0.7,0.1,0.5,0.57,0.7,0.9,0.75,0.5,0.5,0.75,0.8,0.85,0.85,0.9,0.63,0.7,1.0,0.85,0.95,0.7,0.7,0.7,0.9,0.91,0.95,1.0,0.85,1.0,0.75,1.0,0.95,0.95,1.0,0.8,1.0,1.0,1.0,0.8,0.95,1.0,0.95,1.0,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0
1133.0,pretrained,01-ai/Yi-1.5-34B,25.62,0.28,0.6,0.15,0.37,0.42,0.47,bfloat16,34.389B,apache-2.0,11.35 kg,47.0,5月11日,6月12日,0.0,01-ai/Yi-1.5-34B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019.0,pretrained,01-ai/Yi-1.5-34B-32K,26.68,0.31,0.6,0.15,0.36,0.44,0.47,bfloat16,34.389B,apache-2.0,11.58 kg,36.0,5月15日,6月12日,0.0,01-ai/Yi-1.5-34B-32K,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474.0,chat,01-ai/Yi-1.5-34B-Chat,32.89,0.61,0.61,0.25,0.36,0.43,0.45,bfloat16,34.389B,apache-2.0,11.21 kg,265.0,5月10日,6月12日,0.0,01-ai/Yi-1.5-34B-Chat,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
