#,Model,Avg.,OFF,UB,PH,MH,IA,EM,PP,Submission Date,Creator
1,GPT-4-0613,89,88,77.5,93.8,92,91.7,92.2,90.8,2023/09/01,OpenAI
2,gpt-3.5-turbo-0613,80.3,80.8,70.1,82.5,87.5,83.6,76.5,84.6,2023/09/01,OpenAI
3,text-davinci-003,79.1,74.6,66.4,81.4,86.8,84.8,79,84.6,2023/09/01,OpenAI
4,internlm-chat-7B-v1.1,77.6,76.3,66.2,78.3,83.1,82.3,78.4,80.9,2023/09/01,Shanghai AI Laboratory
5,ChatGLM2-lite,77.1,73.7,67.4,80.2,83.7,81.6,76.6,80.2,2023/09/01,Tsinghua & Zhipu
6,flan-t5-xxl,74.7,79.4,70.6,66.2,78.7,79.4,69.8,77.5,2023/09/01,Google
7,internlm-chat-7B,74.5,70.6,66.4,76.6,80.9,77.4,74.5,78.4,2023/09/01,Shanghai AI Laboratory
8,Baichuan2-chat-13B,73.9,67.4,63.8,77.9,80.7,81.4,71.9,78.7,2023/09/01,Baichuan Inc.
9,Vicuna-33B-v1.3,73.1,72.9,69.7,67.9,79.3,76.8,67.1,79.1,2023/09/01,LMSYS
10,WizardLM-13B-v1.2,73.1,78.7,65.7,67.4,78.5,77.3,66.9,78.7,2023/09/01,Microsoft
11,Qwen-chat-7B,72.5,64.7,59.9,72.8,84.1,79,72.5,78.7,2023/09/01,Alibaba Cloud
12,Baichuan-chat-13B,72,68.9,68.4,72,80.3,74.9,67.1,75.1,2023/09/01,Baichuan Inc.
13,Vicuna-13B-v1.5,70.8,68.4,63.4,65.5,79.3,77.1,65.6,78.7,2023/09/01,LMSYS
14,ChatGLM2-6B,69.9,71.4,64.6,67.1,77.3,73.3,64.8,72.2,2023/09/01,Tsinghua & Zhipu
15,openchat-13B-v3.2,67.3,59.3,64.5,61.3,77.5,73.4,61.3,76.2,2023/09/01,Tsinghua
16,Llama2-chat-13B,67.2,59.9,63.1,62.8,74.1,74.9,62.9,75,2023/09/01,Meta
17,Llama2-chat-7B,65.2,67.5,69.4,58.1,69.9,66,57.9,66.4,2023/09/01,Meta
18,Vicuna-7B-v1.5,64.6,52.6,60.2,61.4,76.4,70,61.6,73.3,2023/09/01,LMSYS
19,WizardLM-7B-v1.0,53.6,52.6,48.8,52.4,60.7,55.4,51.2,55.8,2023/09/01,Microsoft
20,Random,36.7,49.5,49.9,34.5,28,26,36.4,27.6,2023/09/01,-
