Model Name,URL,fullname,Parameters,arc:challenge|25,hellaswag|10,MMLU_average,MMLU_abstract_algebra,MMLU_anatomy,MMLU_astronomy,MMLU_business_ethics,MMLU_clinical_knowledge,MMLU_college_biology,MMLU_college_chemistry,MMLU_college_computer_science,MMLU_college_mathematics,MMLU_college_medicine,MMLU_college_physics,MMLU_computer_security,MMLU_conceptual_physics,MMLU_econometrics,MMLU_electrical_engineering,MMLU_elementary_mathematics,MMLU_formal_logic,MMLU_global_facts,MMLU_high_school_biology,MMLU_high_school_chemistry,MMLU_high_school_computer_science,MMLU_high_school_european_history,MMLU_high_school_geography,MMLU_high_school_government_and_politics,MMLU_high_school_macroeconomics,MMLU_high_school_mathematics,MMLU_high_school_microeconomics,MMLU_high_school_physics,MMLU_high_school_psychology,MMLU_high_school_statistics,MMLU_high_school_us_history,MMLU_high_school_world_history,MMLU_human_aging,MMLU_human_sexuality,MMLU_international_law,MMLU_jurisprudence,MMLU_logical_fallacies,MMLU_machine_learning,MMLU_management,MMLU_marketing,MMLU_medical_genetics,MMLU_miscellaneous,MMLU_moral_disputes,MMLU_moral_scenarios,MMLU_nutrition,MMLU_philosophy,MMLU_prehistory,MMLU_professional_accounting,MMLU_professional_law,MMLU_professional_medicine,MMLU_professional_psychology,MMLU_public_relations,MMLU_security_studies,MMLU_sociology,MMLU_us_foreign_policy,MMLU_virology,MMLU_world_religions
O0201,https://huggingface.co/AA051611/O0201,AA051611/O0201,,0.647610922,0.64568811,0.893520232,0.72,0.866666667,0.927631579,0.84,0.928301887,0.951388889,0.78,0.84,0.76,0.867052023,0.754901961,0.91,0.923404255,0.842105263,0.882758621,0.867724868,0.69047619,0.74,0.970967742,0.837438424,0.94,0.951515152,0.98989899,0.984455959,0.923076923,0.807407407,0.949579832,0.794701987,0.968807339,0.87037037,0.985294118,0.966244726,0.923766816,0.946564885,0.925619835,0.962962963,0.975460123,0.839285714,0.961165049,0.982905983,0.91,0.955300128,0.895953757,0.901675978,0.941176471,0.926045016,0.922839506,0.808510638,0.876140808,0.952205882,0.910130719,0.872727273,0.926530612,0.965174129,0.97,0.704819277,0.941520468
V0201,https://huggingface.co/AA051611/V0201,AA051611/V0201,,0.633959044,0.63095001,0.887797741,0.76,0.837037037,0.953947368,0.86,0.935849057,0.965277778,0.75,0.86,0.78,0.878612717,0.774509804,0.91,0.893617021,0.789473684,0.889655172,0.886243386,0.73015873,0.84,0.961290323,0.807881773,0.91,0.921212121,0.964646465,0.984455959,0.912820513,0.788888889,0.941176471,0.768211921,0.974311927,0.833333333,0.970588235,0.949367089,0.892376682,0.908396947,0.917355372,0.962962963,0.944785276,0.839285714,0.961165049,0.982905983,0.92,0.957854406,0.887283237,0.905027933,0.931372549,0.897106109,0.919753086,0.787234043,0.830508475,0.941176471,0.901960784,0.845454545,0.906122449,0.975124378,0.96,0.71686747,0.929824561
A0204,https://huggingface.co/AA051615/A0204,AA051615/A0204,,0.65443686,0.647181836,0.868564604,0.73,0.859259259,0.914473684,0.86,0.898113208,0.986111111,0.73,0.8,0.78,0.861271676,0.676470588,0.89,0.89787234,0.771929825,0.903448276,0.846560847,0.650793651,0.74,0.94516129,0.84729064,0.89,0.933333333,0.96969697,0.989637306,0.88974359,0.733333333,0.924369748,0.708609272,0.959633028,0.796296296,0.990196078,0.949367089,0.901345291,0.908396947,0.966942149,0.935185185,0.963190184,0.732142857,0.902912621,0.974358974,0.9,0.942528736,0.87283237,0.841340782,0.905228758,0.887459807,0.904320988,0.755319149,0.825293351,0.930147059,0.900326797,0.818181818,0.897959184,0.945273632,0.97,0.674698795,0.929824561
A0125,https://huggingface.co/AA051612/A0125,AA051612/A0125,,0.646757679,0.653455487,0.866359818,0.63,0.866666667,0.927631579,0.83,0.898113208,0.958333333,0.62,0.84,0.7,0.87283237,0.735294118,0.86,0.880851064,0.754385965,0.917241379,0.822751323,0.603174603,0.67,0.941935484,0.807881773,0.87,0.957575758,0.974747475,0.979274611,0.892307692,0.718518519,0.941176471,0.688741722,0.957798165,0.824074074,0.975490196,0.966244726,0.892376682,0.93129771,0.950413223,0.935185185,0.944785276,0.767857143,0.922330097,0.974358974,0.91,0.954022989,0.86416185,0.89273743,0.921568627,0.903536977,0.929012346,0.80141844,0.852672751,0.944852941,0.91503268,0.836363636,0.902040816,0.965174129,0.96,0.686746988,0.941520468
V0202,https://huggingface.co/AA051611/V0202,AA051611/V0202,,0.634812287,0.624377614,0.863180601,0.67,0.807407407,0.940789474,0.86,0.879245283,0.958333333,0.72,0.79,0.67,0.838150289,0.715686275,0.86,0.889361702,0.798245614,0.84137931,0.851851852,0.642857143,0.74,0.95483871,0.78817734,0.91,0.933333333,0.964646465,0.979274611,0.91025641,0.766666667,0.894957983,0.688741722,0.946788991,0.814814815,0.955882353,0.94092827,0.914798206,0.923664122,0.933884298,0.962962963,0.914110429,0.848214286,0.922330097,0.957264957,0.9,0.952745849,0.855491329,0.880446927,0.905228758,0.893890675,0.910493827,0.75177305,0.829204694,0.911764706,0.887254902,0.845454545,0.87755102,0.945273632,0.95,0.686746988,0.918128655
B0121,https://huggingface.co/AA051612/B0121,AA051612/B0121,,0.645904437,0.657837084,0.856270158,0.63,0.859259259,0.921052632,0.83,0.913207547,0.958333333,0.65,0.74,0.62,0.849710983,0.745098039,0.87,0.85106383,0.719298246,0.848275862,0.828042328,0.642857143,0.65,0.958064516,0.798029557,0.9,0.945454545,0.974747475,0.989637306,0.897435897,0.651851852,0.920168067,0.655629139,0.944954128,0.800925926,0.965686275,0.949367089,0.887892377,0.954198473,0.909090909,0.935185185,0.957055215,0.723214286,0.932038835,0.987179487,0.94,0.946360153,0.869942197,0.889385475,0.911764706,0.903536977,0.922839506,0.783687943,0.808344198,0.955882353,0.900326797,0.809090909,0.885714286,0.940298507,0.96,0.674698795,0.941520468
34b-beta,https://huggingface.co/CausalLM/34b-beta,CausalLM/34b-beta,34,0.659556314,0.644094802,0.856024046,0.72,0.866666667,0.901315789,0.84,0.898113208,0.979166667,0.7,0.8,0.72,0.838150289,0.656862745,0.88,0.889361702,0.701754386,0.875862069,0.841269841,0.642857143,0.68,0.94516129,0.81773399,0.9,0.939393939,0.95959596,0.984455959,0.887179487,0.711111111,0.907563025,0.668874172,0.959633028,0.768518519,0.980392157,0.949367089,0.883408072,0.900763359,0.94214876,0.935185185,0.963190184,0.705357143,0.912621359,0.97008547,0.86,0.939974457,0.869942197,0.837988827,0.921568627,0.874598071,0.907407407,0.737588652,0.81029987,0.922794118,0.879084967,0.836363636,0.885714286,0.940298507,0.96,0.662650602,0.923976608
A0127,https://huggingface.co/AA051610/A0127,AA051610/A0127,,0.649317406,0.64797849,0.848995421,0.59,0.859259259,0.921052632,0.8,0.871698113,0.9375,0.64,0.83,0.68,0.838150289,0.735294118,0.86,0.868085106,0.771929825,0.834482759,0.80952381,0.595238095,0.62,0.94516129,0.763546798,0.87,0.939393939,0.944444444,0.974093264,0.879487179,0.685185185,0.928571429,0.635761589,0.944954128,0.773148148,0.975490196,0.966244726,0.878923767,0.923664122,0.933884298,0.916666667,0.920245399,0.75,0.893203883,0.97008547,0.9,0.943805875,0.855491329,0.864804469,0.911764706,0.890675241,0.916666667,0.74822695,0.830508475,0.941176471,0.888888889,0.809090909,0.889795918,0.965174129,0.97,0.656626506,0.935672515
A0304,https://huggingface.co/AA051615/A0304,AA051615/A0304,,0.629692833,0.62925712,0.845046227,0.64,0.8,0.888157895,0.83,0.905660377,0.972222222,0.67,0.77,0.62,0.843930636,0.656862745,0.87,0.876595745,0.675438596,0.848275862,0.791005291,0.619047619,0.7,0.951612903,0.768472906,0.85,0.927272727,0.964646465,0.989637306,0.894871795,0.614814815,0.924369748,0.662251656,0.952293578,0.777777778,0.960784314,0.962025316,0.869955157,0.885496183,0.958677686,0.888888889,0.944785276,0.696428571,0.951456311,0.948717949,0.94,0.946360153,0.855491329,0.87150838,0.888888889,0.893890675,0.888888889,0.726950355,0.79726206,0.944852941,0.883986928,0.818181818,0.873469388,0.945273632,0.96,0.668674699,0.941520468
A0221,https://huggingface.co/AA051615/A0221,AA051615/A0221,,0.651023891,0.65534754,0.844754045,0.62,0.814814815,0.914473684,0.86,0.875471698,0.958333333,0.67,0.81,0.69,0.820809249,0.676470588,0.84,0.89787234,0.736842105,0.848275862,0.785714286,0.603174603,0.68,0.938709677,0.802955665,0.88,0.909090909,0.934343434,0.979274611,0.869230769,0.688888889,0.932773109,0.649006623,0.952293578,0.782407407,0.965686275,0.945147679,0.878923767,0.908396947,0.94214876,0.925925926,0.932515337,0.696428571,0.912621359,0.957264957,0.87,0.946360153,0.843930636,0.854748603,0.905228758,0.877813505,0.895061728,0.716312057,0.782268579,0.915441176,0.887254902,0.809090909,0.881632653,0.935323383,0.97,0.638554217,0.935672515
A0308-G,https://huggingface.co/AA051615/A0308-G,AA051615/A0308-G,,0.64334471,0.640509859,0.840660824,0.66,0.755555556,0.914473684,0.84,0.879245283,0.9375,0.63,0.76,0.61,0.815028902,0.715686275,0.86,0.842553191,0.710526316,0.848275862,0.767195767,0.603174603,0.63,0.932258065,0.75862069,0.86,0.927272727,0.964646465,0.989637306,0.879487179,0.644444444,0.924369748,0.635761589,0.946788991,0.814814815,0.955882353,0.949367089,0.874439462,0.877862595,0.958677686,0.935185185,0.914110429,0.723214286,0.932038835,0.97008547,0.94,0.947637292,0.852601156,0.875977654,0.892156863,0.900321543,0.888888889,0.712765957,0.776401565,0.915441176,0.879084967,0.827272727,0.869387755,0.945273632,0.96,0.65060241,0.935672515
A0126,https://huggingface.co/AA051612/A0126,AA051612/A0126,,0.656996587,0.667197769,0.840339681,0.59,0.837037037,0.881578947,0.81,0.871698113,0.944444444,0.6,0.8,0.6,0.838150289,0.68627451,0.84,0.846808511,0.719298246,0.84137931,0.812169312,0.611111111,0.64,0.941935484,0.748768473,0.85,0.933333333,0.95959596,0.979274611,0.874358974,0.62962963,0.932773109,0.635761589,0.943119266,0.759259259,0.960784314,0.957805907,0.856502242,0.923664122,0.94214876,0.935185185,0.957055215,0.732142857,0.912621359,0.965811966,0.9,0.943805875,0.852601156,0.864804469,0.905228758,0.884244373,0.916666667,0.737588652,0.786179922,0.933823529,0.890522876,0.8,0.885714286,0.950248756,0.96,0.656626506,0.929824561
A0124,https://huggingface.co/AA051612/A0124,AA051612/A0124,,0.639931741,0.650468034,0.836971735,0.62,0.837037037,0.921052632,0.83,0.879245283,0.9375,0.62,0.73,0.6,0.820809249,0.696078431,0.84,0.842553191,0.710526316,0.855172414,0.817460317,0.53968254,0.65,0.932258065,0.733990148,0.86,0.933333333,0.949494949,0.979274611,0.864102564,0.611111111,0.93697479,0.629139073,0.955963303,0.773148148,0.950980392,0.94092827,0.843049327,0.93129771,0.933884298,0.935185185,0.938650307,0.6875,0.922330097,0.965811966,0.9,0.946360153,0.841040462,0.85027933,0.901960784,0.887459807,0.922839506,0.758865248,0.767275098,0.930147059,0.87745098,0.8,0.885714286,0.930348259,0.96,0.65060241,0.941520468
O0128,https://huggingface.co/AA051610/O0128,AA051610/O0128,,0.655290102,0.656940848,0.835896166,0.57,0.822222222,0.901315789,0.82,0.864150943,0.972222222,0.56,0.74,0.57,0.826589595,0.647058824,0.86,0.846808511,0.710526316,0.862068966,0.791005291,0.650793651,0.61,0.941935484,0.763546798,0.88,0.915151515,0.96969697,0.979274611,0.869230769,0.611111111,0.932773109,0.629139073,0.944954128,0.740740741,0.960784314,0.949367089,0.852017937,0.908396947,0.933884298,0.925925926,0.932515337,0.723214286,0.932038835,0.978632479,0.91,0.945083014,0.861271676,0.860335196,0.911764706,0.903536977,0.901234568,0.737588652,0.768578879,0.922794118,0.880718954,0.8,0.87755102,0.960199005,0.95,0.626506024,0.929824561
